,AuthorName,Link
0,Albert Einstein,https://quotes.toscrape.com//author/Albert-Einstein
1,J.K. Rowling,https://quotes.toscrape.com//author/J-K-Rowling
2,Albert Einstein,https://quotes.toscrape.com//author/Albert-Einstein
3,Jane Austen,https://quotes.toscrape.com//author/Jane-Austen
4,Marilyn Monroe,https://quotes.toscrape.com//author/Marilyn-Monroe
5,Albert Einstein,https://quotes.toscrape.com//author/Albert-Einstein
6,André Gide,https://quotes.toscrape.com//author/Andre-Gide
7,Thomas A. Edison,https://quotes.toscrape.com//author/Thomas-A-Edison
8,Eleanor Roosevelt,https://quotes.toscrape.com//author/Eleanor-Roosevelt
9,Steve Martin,https://quotes.toscrape.com//author/Steve-Martin
